Hebrew,Transliteration,Root,Meaning,Part of speech
הַדְרָכָה,hadracha,ד - ר - ך,"instruction, training","Noun –haktalapattern, feminine"
מִדְרָכָה,midracha,ד - ר - ך,"sidewalk, pavement","Noun –miktalapattern, feminine"
דָּרוֹם,darom,ד - ר - ם,south,"Noun –katolpattern, masculine"
דְּרִיסָה,drisa,ד - ר - ס,"trampling, treading, running over (by a vehicle)","Noun –ktilapattern, feminine"
דְּרִישָׁה,drisha,ד - ר - שׁ,"demand, requirement","Noun –ktilapattern, feminine"
מִדְרָשׁ,midrash,ד - ר - שׁ,"Talmudic interpretation, midrash (Judaism)","Noun –miktalpattern, masculine"
מִדְרָשָׁה,midrasha,ד - ר - שׁ,college; religious school,"Noun –miktalapattern, feminine"
דֶּשֶׁא,deshe,ד - שׁ - א,grass,"Noun –ketelpattern, masculine"
מִדְשָׁאָה,midsha'a,ד - שׁ - א,lawn,"Noun –miktalapattern, feminine"
דִּישּׁוּן,dishun,ד - שׁ - ן,fertilisation (agriculture),"Noun –kittulpattern, masculine"
דּוֹשֶׁן,doshen,ד - שׁ - ן,fertility (of soil),"Noun –kotelpattern, masculine"
דֶּשֶׁן,deshen,ד - שׁ - ן,fertiliser,"Noun –ketelpattern, masculine"
הֶבֶל,hevel,ה - ב - ל,"nonsense, foolishness, absurdity","Noun –ketelpattern, masculine"
הִיגָּיוֹן,higayon,ה - ג - ה,"logic, reason","Noun –kittalonpattern, masculine"
הֲגִייָּה,hagiya,ה - ג - ה,"pronunciation, diction","Noun –ktilapattern, feminine"
הֶגֶה,hege,ה - ג - ה,"steering wheel, rudder; control, leadership","Noun –ketelpattern, masculine"
הֶגֶה,hege,ה - ג - ה,"sound, phone (phonetics)","Noun –ketelpattern, masculine"
הֲגִירָה,hagira,ה - ג - ר,migration,"Noun –ktilapattern, feminine"
מְהַגֵּר,mehager,ה - ג - ר,"immigrant, emigrant, migrant","Noun –mekattelpattern, masculine"
הֲדַס,hadas,ה - ד - ס,myrtle (plant),"Noun –ktalpattern, masculine"
הֶדֶק,hedek,ה - ד - ק,trigger (of a weapon),"Noun –ketelpattern, masculine"
הָדָר,hadar,ה - ד - ר,citrus,"Noun –katalpattern, masculine"
הָדָר,hadar,ה - ד - ר,"splendor, glory, majesty (lit.)","Noun –katalpattern, masculine"
תְּהוּדָה,tehuda,ה - ו - ד,"resonance; impact, effect, repercussion","Noun –tkulapattern, feminine"
הִתְהַוּוּת,hithavut,ה - ו - ה,"inception, being created","Noun –hitkattlutpattern, feminine"
הוֹוֶה,hove,ה - ו - ה,"present time, present period, now, the present; present tense (grammar)","Noun –kotelpattern, masculine"
מְהוּמָה,mehuma,ה - ו - ם,"tumult, commotion","Noun –mekulapattern, feminine"
הֲזִייָּה,haziya,ה - ז - ה,"hallucination, delirium","Noun –ktilapattern, feminine"
מַהֲלָךְ,mahalach,ה - ל - ך,"process, course; step, movement; development","Noun –miktalpattern, masculine"
הֲלִיךְ,halich,ה - ל - ך,"process, proceeding (law)","Noun –ktilpattern, masculine"
הֲלִיכָה,halicha,ה - ל - ך,"walk, walking; gait, pace; death, passing away","Noun –ktilapattern, feminine"
הֲלָכָה,halacha,ה - ל - ך,"law, rule; Halacha (Jewish law)","Noun –ktalapattern, feminine"
תַּהֲלִיךְ,tahalich,ה - ל - ך,"process; development, progression","Noun –taktilpattern, masculine"
הִילּוּךְ,hiluch,ה - ל - ך,gear (automotives); gait,"Noun –kittulpattern, masculine"
הִתְהוֹלְלוּת,hitholelut,ה - ל - ל,"licentiousness, debauchery","Noun –hitkattlutpattern, feminine"
הִילָּה,hila,ה - ל - ל,halo; corona (astronomy),"Noun –kitlapattern, feminine"
תְּהִילָּה,tehila,ה - ל - ל,"praise, adoration","Noun –tkillapattern, feminine"
הֶלֶם,helem,ה - ל - ם,"shock, trauma","Noun –ketelpattern, masculine"
הֲמוּלָּה,hamula,ה - מ - ל,"tumult, noise","Noun –ktullapattern, feminine"
הִימּוּר,himur,ה - מ - ר,"bet, gamble","Noun –kittulpattern, masculine"
הֲנָאָה,hana'a,ה - נ - א,"pleasure, delight, enjoyment","Noun –ktalapattern, feminine"
מְהַנְדֵּס,mehandes,ה - נ - ד - ס,engineer,"Noun –mekattelpattern, masculine"
הֲפִיכָה,haficha,ה - פ - ך,"coup, revolution; reversal","Noun –ktilapattern, feminine"
הִיפּוּךְ,hipuch,ה - פ - ך,"reversal, inversion; opposite; somersault, roll","Noun –kittulpattern, masculine"
מַהְפֵּכָה,mahpecha,ה - פ - ך,revolution,"Noun –maktelapattern, feminine"
הִתְהַפְּכוּת,hithapchut,ה - פ - ך,"somersault, flip; turning over, rolling over","Noun –hitkattlutpattern, feminine"
הֶפֶךְ,hefech,ה - פ - ך,"opposite, contrary","Noun –ketelpattern, masculine"
הֲרִיגָה,hariga,ה - ר - ג,manslaughter (law),"Noun –ktilapattern, feminine"
הִירְהוּר,hirhur,ה - ר - ה - ר,"consideration, mulling over, thought","Noun –kittulpattern, masculine"
הֵירָיוֹן,herayon,ה - ר - ה,pregnancy,"Noun –kittalonpattern, masculine"
הוֹרֶה,hore,ה - ר - ה,parent (usually in pl.),"Noun –kotelpattern, masculine"
הֶרֶס,heres,ה - ר - ס,"destruction, devastation","Noun –ketelpattern, masculine"
הֲרִיסָה,harisa,ה - ר - ס,"destruction, ruination; (in plural) ruins, rubble","Noun –ktilapattern, feminine"
הָר,har,ה - ר - ר,mountain,"Noun –ketelpattern, masculine"
וִידּוּי,viduy,ו - ד - ה,confession,"Noun –kittulpattern, masculine"
וִיכּוּחַ,vikuach,ו - כ - ח,"argument, debate, discussion","Noun –kittulpattern, masculine"
מוֹלִיךְ,molich,ו - ל - ך,conductor (electricity),"Noun –maktilpattern, masculine"
וִיסּוּת,visut,ו - ס - ת,regulation,"Noun –kittulpattern, masculine"
וֶסֶת,veset,ו - ס - ת,"menstruation, period","Noun –ketelpattern, feminine"
וַעֲדָה,va'ada,ו - ע - ד,"committee, board, commission","Noun –katlapattern, feminine"
וַעַד,va'ad,ו - ע - ד,committee,"Noun –ketelpattern, masculine"
וְעִידָה,ve'ida,ו - ע - ד,"conference, congress","Noun –ktilapattern, feminine"
וֶרֶד,vered,ו - ר - ד,rose (flower),"Noun –ketelpattern, masculine"
וְרִיד,vrid,ו - ר - ד,vein (anatomy),"Noun –ktilpattern, masculine"
וֶתֶק,vetek,ו - ת - ק,"seniority, track record","Noun –ketelpattern, masculine"
וִיתּוּר,vitur,ו - ת - ר,"concession, giving up","Noun –kittulpattern, masculine"
זְאֵב,ze'ev,ז - א - ב,wolf,"Noun –ktelpattern, masculine"
זְבוּב,zvuv,ז - ב - ב,fly (insect),"Noun –ktulpattern, masculine"
זֶבַח,zevach,ז - ב - ח,sacrifice (animal),"Noun –ketelpattern, masculine"
זֶבֶל,zevel,ז - ב - ל,"rubbish, garbage; manure","Noun –ketelpattern, masculine"
מִזְבָּלָה,mizbala,ז - ב - ל,"garbage dump, rubbish dump","Noun –miktalapattern, feminine"
זִיגּוּג,zigug,ז - ג - ג,"glazing; icing, frosting","Noun –kittulpattern, masculine"
זַגָּג,zagag,ז - ג - ג,"glazier, glassmaker","Noun –kattalpattern, masculine"
זַג,zag,ז - ג - ג,"grape skin, peel, husk","Noun –ketelpattern, masculine"
זָהָב,zahav,ז - ה - ב,gold,"Noun –katalpattern, masculine"
זִיהוּי,zihuy,ז - ה - ה,identification,"Noun –kittulpattern, masculine"
הִזְדַּהוּת,hizdahut,ז - ה - ה,identification (with something or someone); empathy; producing identification,"Noun –hitkattlutpattern, feminine"
זִיהוּם,zihum,ז - ה - ם,"contamination, pollution; infection","Noun –kittulpattern, masculine"
אַזְהָרָה,azhara,ז - ה - ר,warning,"Noun –aktalapattern, feminine"
הַזְהָרָה,hazhara,ז - ה - ר,warning,"Noun –haktalapattern, feminine"
הִזְדַּווְּגוּת,hizdavgut,ז - ו - ג,"copulation, mating, sexual intercourse","Noun –hitkattlutpattern, feminine"
מִזְווָדָה,mizvada,ז - ו - ד,suitcase,"Noun –miktalapattern, feminine"
מִזְווָד,mizvad,ז - ו - ד,"luggage, baggage (rare)","Noun –miktalpattern, masculine"
תְּזוּזָה,tzuza,ז - ו - ז,"movement, motion","Noun –tkulapattern, feminine"
הֲזָזָה,hazaza,ז - ו - ז,"moving, shifting, sliding","Noun –haktalapattern, feminine"
מָזוֹן,mazon,ז - ו - ן,food,"Noun –miktalpattern, masculine"
הֲזָנָה,hazana,ז - ו - ן,"feeding, nourishing; supply (of raw materials, of input data)","Noun –haktalapattern, feminine"
תְּזוּנָה,tzuna,ז - ו - ן,nutrition,"Noun –tkulapattern, feminine"
זְווָעָה,zva'a,ז - ו - ע,"horror, terror; something bad (coll.)","Noun –ktalapattern, feminine"
זְחִילָה,zchila,ז - ח - ל,crawling,"Noun –ktilapattern, feminine"
זַחַל,zachal,ז - ח - ל,"larva, caterpillar, maggot; caterpillar track (transport)","Noun –ketelpattern, masculine"
זוֹחֵל,zochel,ז - ח - ל,reptile (biology),"Noun –kotelpattern, masculine"
מִזְחֶלֶת,mizchelet,ז - ח - ל,"sled, sledge, sleigh","Noun –mikteletpattern, feminine"
זַיִן,zayin,ז - י - ן,"penis (vulgar); arms, weapons","Noun –ketelpattern, masculine"
זַיִת,zayit,ז - י - ת,olive,"Noun –ketelpattern, masculine"
זְכוּת,zchut,ז - כ - ה,"right, prerogative, privilege","Noun –ktutpattern, feminine"
זִיכּוּי,zikuy,ז - כ - ה,acquittal; credit (accounting),"Noun –kittulpattern, masculine"
זְכִייָּה,zchiya,ז - כ - ה,"success, victory; achievement","Noun –ktilapattern, feminine"
זַכְייָן,zachyan,ז - כ - ה,"franchisee, concessionaire","Noun –katlanpattern, masculine"
זְכִירָה,zchira,ז - כ - ר,"memorization, remembering","Noun –ktilapattern, feminine"
תִּזְכּוֹרֶת,tizkoret,ז - כ - ר,"reminder, memorandum","Noun –tiktoletpattern, feminine"
אַזְכָּרָה,azkara,ז - כ - ר,"commemoration, funeral service","Noun –aktalapattern, feminine"
זֵכֶר,zecher,ז - כ - ר,memory (of a deceased person or of some event),"Noun –ketelpattern, masculine"
מַזְכֶּרֶת,mazkeret,ז - כ - ר,"souvenir, memorable gift","Noun –makteletpattern, feminine"
הַזְכָּרָה,hazkara,ז - כ - ר,mentioning,"Noun –haktalapattern, feminine"
זִיכָּרוֹן,zikaron,ז - כ - ר,memory,"Noun –kittalonpattern, masculine"
מִזְכָּר,mizkar,ז - כ - ר,"memorandum, memo, note","Noun –miktalpattern, masculine"
מַזְכִּיר,mazkir,ז - כ - ר,secretary,"Noun –maktilpattern, masculine"
זָכָר,zachar,ז - כ - ר,male; man; masculine gender (grammar),"Noun –katalpattern, masculine"
מַזְלֵג,mazleg,ז - ל - ג,fork (utensil),"Noun –maktelpattern, masculine"
זִלְזוּל,zilzul,ז - ל - ז - ל,negligence,"Noun –kittulpattern, masculine"
זְלִילָה,zlila,ז - ל - ל,"gluttony, overeating","Noun –ktilapattern, feminine"
מַזְלֵף,mazlef,ז - ל - ף,watering can,"Noun –maktelpattern, masculine"
זִימְזוּם,zimzum,ז - מ - ז - ם,"buzz, humming","Noun –kittulpattern, masculine"
זַמְזָם,zamzam,ז - מ - ז - ם,buzzer,"Noun –kattalpattern, masculine"
זִימָּה,zima,ז - מ - ם,lust,"Noun –kitlapattern, feminine"
מְזִימָּה,mezima,ז - מ - ם,"plot, conspiracy","Noun –mekilapattern, feminine"
הִזְדַּמְּנוּת,hizdamnut,ז - מ - ן,opportunity; occasion,"Noun –hitkattlutpattern, feminine"
הַזְמָנָה,hazmana,ז - מ - ן,"invitation; order (in a restaurant, etc.)","Noun –haktalapattern, feminine"
זְמַן,zman,ז - מ - ן,time; tense (grammar),"Noun –ktalpattern, masculine"
זִימּוּן,zimun,ז - מ - ן,"appointment, invitation, summons","Noun –kittulpattern, masculine"
תִּזְמוֹרֶת,tizmoret,ז - מ - ר,orchestra,"Noun –tiktoletpattern, feminine"
זַמָּר,zamar,ז - מ - ר,singer,"Noun –kattalpattern, masculine"
זֵמֶר,zemer,ז - מ - ר,"song, melody, musical theme","Noun –ketelpattern, masculine"
מִזְמוֹר,mizmor,ז - מ - ר,psalm; song (lit.),"Noun –miktolpattern, masculine"
זְמִירָה,zmira,ז - מ - ר,"pruning, trimming, clipping","Noun –ktilapattern, feminine"
זָמִיר,zamir,ז - מ - ר,nightingale,"Noun –katilpattern, masculine"
זִמְרָה,zimra,ז - מ - ר,singing,"Noun –kitlapattern, feminine"
זְנַבְנַב,znavnav,ז - נ - ב,"tail (diminutive), little tail","Noun –ktaltalpattern, masculine"
זָנָב,zanav,ז - נ - ב,tail (of an animal),"Noun –katalpattern, masculine"
זְנוּת,znut,ז - נ - ה,"prostitution; vice, fornication","Noun –ktutpattern, feminine"
זִינּוּק,zinuk,ז - נ - ק,"start; spurt, dash, leap","Noun –kittulpattern, masculine"
זַעְזוּעַ,za'azua,ז - ע - ז - ע,"shock, turbulence, turmoil; crisis, upheaval","Noun –kattulpattern, masculine"
זַעַם,za'am,ז - ע - ם,"anger, fury, wrath, ire","Noun –ketelpattern, masculine"
אַזְעָקָה,az'aka,ז - ע - ק,"siren, alarm","Noun –aktalapattern, feminine"
זַעֲקָה,za'aka,ז - ע - ק,"shout, cry, yell","Noun –katlapattern, feminine"
זֶפֶת,zefet,ז - פ - ת,"tar, pitch","Noun –ketelpattern, feminine"
זָקָן,zakan,ז - ק - ן,beard,"Noun –katalpattern, masculine"
זִקְנָה,zikna,ז - ק - ן,old age,"Noun –kitlapattern, feminine"
זְקוּנִים,zkunim,ז - ק - ן,old age (biblical),"Noun –ktulpattern, masculine, plural"
זִקְפָּה,zikpa,ז - ק - ף,erection (penis),"Noun –kitlapattern, feminine"
זִיקּוּק,zikuk,ז - ק - ק,"distillation, purification","Noun –kittulpattern, masculine"
זִיקּוּק,zikuk,ז - ק - ק,"flare, spark, firework (lit.)","Noun –kittulpattern, masculine"
זִיקָּה,zika,ז - ק - ק,"affinity, attachment, bond, propensity (ל־)","Noun –kitlapattern, feminine"
הִזְדַּקְּקוּת,hizdakekut,ז - ק - ק,"requirement, need of something (ל־)","Noun –hitkattlutpattern, feminine"
זֶרֶד,zered,ז - ר - ד,"twig, tendril","Noun –ketelpattern, masculine"
זָרָז,zaraz,ז - ר - ז,catalyst,"Noun –kattalpattern, masculine"
זְרִיחָה,zricha,ז - ר - ח,sunrise,"Noun –ktilapattern, feminine"
מִזְרָח,mizrach,ז - ר - ח,east,"Noun –miktalpattern, masculine"
זֶרֶם,zerem,ז - ר - ם,flow; movement (e. g. religious or political),"Noun –ketelpattern, masculine"
תַּזְרִים,tazrim,ז - ר - ם,"flow (of cash, funds etc.)","Noun –taktilpattern, masculine"
זְרִימָה,zrima,ז - ר - ם,flow,"Noun –ktilapattern, feminine"
מִזְרָן,mizran,ז - ר - ן,"mattress, mat","Noun –miktalpattern, masculine"
זֶרַע,zera,ז - ר - ע,seed; semen,"Noun –ketelpattern, masculine"
זְרוֹעַ,zroa,ז - ר - ע,"arm, upper arm; handle, lever","Noun –ktolpattern, feminine"
מִזְרָקָה,mizraka,ז - ר - ק,fountain,"Noun –miktalapattern, feminine"
זְרִיקָה,zrika,ז - ר - ק,"injection, shot","Noun –ktilapattern, feminine"
זֵר,zer,ז - ר - ר,"wreath, bouquet","Noun –ketelpattern, masculine"
תַּחְבִּיב,tachbiv,ח - ב - ב,hobby,"Noun –taktilpattern, masculine"
חִיבָּה,chiba,ח - ב - ב,"fondness, affection","Noun –kitlapattern, feminine"
מַחְבֵּט,machbet,ח - ב - ט,"racket, bat (sports)","Noun –maktelpattern, masculine"
חוֹבֵל,chovel,ח - ב - ל,sailor; naval officer,"Noun –kotelpattern, masculine"
חֲבִילָה,chavila,ח - ב - ל,"package, bundle; parcel","Noun –ktilapattern, feminine"
חֶבֶל,chevel,ח - ב - ל,rope; clothesline; skipping rope,"Noun –ketelpattern, masculine"
מְחַבֵּל,mechabel,ח - ב - ל,terrorist,"Noun –mekattelpattern, masculine"
חִיבּוּק,chibuk,ח - ב - ק,"embrace, hug","Noun –kittulpattern, masculine"
הִתְחַבְּרוּת,hitchabrut,ח - ב - ר,"joining, attachment","Noun –hitkattlutpattern, feminine"
מַחְבֶּרֶת,machberet,ח - ב - ר,"notebook, exercise book","Noun –makteletpattern, feminine"
תַּחְבִּיר,tachbir,ח - ב - ר,syntax,"Noun –taktilpattern, masculine"
חֲבוּרָה,chavura,ח - ב - ר,"company, group, gang","Noun –ktulapattern, feminine"
חֶבְרָה,chevra,ח - ב - ר,"company, society","Noun –kitlapattern, feminine"
חָבֵר,chaver,ח - ב - ר,"friend, companion; boyfriend; member (of an organisation)","Noun –katelpattern, masculine"
חִיבּוּר,chibur,ח - ב - ר,"addition (mathematics); joining; composition, essay","Noun –kittulpattern, masculine"
חֲבִישָׁה,chavisha,ח - ב - שׁ,"bandaging, dressing; head-covering; saddling; imprisonment","Noun –ktilapattern, masculine"
חוֹבֵשׁ,chovesh,ח - ב - שׁ,"medic (military), medical assistant","Noun –kotelpattern, masculine"
חֲבִיתָה,chavita,ח - ב - ת,fried egg,"Noun –ktilapattern, feminine"
מַחְבָת,machvat,ח - ב - ת,"frying pan, skillet","Noun –maktalpattern, feminine"
חֲגִיגָה,chagiga,ח - ג - ג,"celebration, fest","Noun –ktilapattern, feminine"
חַג,chag,ח - ג - ג,holiday,"Noun –ketelpattern, masculine"
חֲגוֹרָה,chagora,ח - ג - ר,belt,"Noun –ktolapattern, feminine"
חֶדְווָה,chedva,ח - ד - ו,"joy, rejoicing, gaiety (lit.)","Noun –kitlapattern, feminine"
מֶחְדָּל,mechdal,ח - ד - ל,failure; omission; default,"Noun –miktalpattern, masculine"
חִידָּלוֹן,chidalon,ח - ד - ל,"cessation, end, oblivion, destruction (lit.)","Noun –kittalonpattern, masculine"
חֵדֶק,chedek,ח - ד - ק,"proboscis, trunk (elephant)","Noun –ketelpattern, masculine"
חֶדֶר,cheder,ח - ד - ר,room,"Noun –ketelpattern, masculine"
חוֹדֶשׁ,chodesh,ח - ד - שׁ,month,"Noun –kotelpattern, masculine"
הִתְחַדְּשׁוּת,hitchadshut,ח - ד - שׁ,renewal,"Noun –hitkattlutpattern, feminine"
חַדְשָׁן,chadshan,ח - ד - שׁ,innovator,"Noun –katlanpattern, masculine"
חִידּוּשׁ,chidush,ח - ד - שׁ,"innovation, novelty; renewal, renovation","Noun –kittulpattern, masculine"
תַּחְדִּישׁ,tachdish,ח - ד - שׁ,neologism,"Noun –taktilpattern, masculine"
מְחוּגָה,mechuga,ח - ו - ג,compass (drawing device),"Noun –mekulapattern, feminine"
מָחוֹג,machog,ח - ו - ג,"hand (on a clock), needle (on a meter)","Noun –miktalpattern, masculine"
חִידָה,chida,ח - ו - ד,"riddle, puzzle","Noun –ktilapattern, feminine"
מָחוֹז,machoz,ח - ו - ז,"district, state, province, territory, region","Noun –miktalpattern, masculine"
חֲווָיָה,chavaya,ח - ו - ה,experience,"Noun –ktalapattern, feminine"
מַחֲווֶה,machave,ח - ו - ה,pointer,"Noun –maktelpattern, masculine"
מֶחְווָה,mechva,ח - ו - ה,gesture,"Noun –miktalpattern, feminine"
חִיווָּרוֹן,chivaron,ח - ו - ר,pallor,"Noun –kittalonpattern, masculine"
תְּחוּשָׁה,tchusha,ח - ו - שׁ,feeling,"Noun –tkulapattern, feminine"
תַּחֲזִית,tachazit,ח - ז - ה,"forecast, prediction","Noun –taktitpattern, feminine"
הִתְחַזּוּת,hitchazut,ח - ז - ה,impersonation,"Noun –hitkattlutpattern, feminine"
מַחֲזֶה,machaze,ח - ז - ה,"play (theatre); view, sight, scene","Noun –miktalpattern, masculine"
חוֹזֶה,choze,ח - ז - ה,"contract, agreement","Noun –kotelpattern, masculine"
חוֹזֶה,choze,ח - ז - ה,"prophet, seer","Noun –kotelpattern, masculine"
חִיזָּיוֹן,chizayon,ח - ז - ה,"spectacle, sight, show; dream, vision (lit.)","Noun –kittalonpattern, masculine"
חַזָּן,chazan,ח - ז - ן,cantor,"Noun –kattalpattern, masculine"
הַחְזָקָה,hachzaka,ח - ז - ק,"holding, holding on, grasping; storage; confinement, incarceration; maintaining (principle, belief);  possession","Noun –haktalapattern, feminine"
חִיזּוּק,chizuk,ח - ז - ק,"strengthening, reinforcement","Noun –kittulpattern, masculine"
חוֹזֶק,chozek,ח - ז - ק,"strength, power (rare)","Noun –kotelpattern, masculine"
חֲזָקָה,chazaka,ח - ז - ק,"presumption, commonly accepted fact; possession","Noun –ktalapattern, feminine"
חֶזְקָה,chezka,ח - ז - ק,power (mathematics),"Noun –kitlapattern, feminine"
אַחְזָקָה,achzaka,ח - ז - ק,maintenance; holding (corporate),"Noun –aktalapattern, feminine"
חִיזּוּר,chizur,ח - ז - ר,reduction (chemistry),"Noun –kittulpattern, masculine"
חִיזּוּר,chizur,ח - ז - ר,"courting, wooing","Noun –kittulpattern, masculine"
הֶחְזֵר,hechzer,ח - ז - ר,refund; return,"Noun –hektelpattern, masculine"
מַחְזוֹר,machzor,ח - ז - ר,"cycle, period; circulation, turnover; machzor (prayer book)","Noun –miktolpattern, masculine"
חֲזָרָה,chazara,ח - ז - ר,"returning, the way back, retreat; rehearsal, repetition","Noun –ktalapattern, feminine"
חַזֶּרֶת,chazeret,ח - ז - ר,mumps (medicine),"Noun –katteletpattern, feminine"
חַזֶּרֶת,chazeret,ח - ז - ר,horseradish,"Noun –katteletpattern, feminine"
חֲטִיבָה,chativa,ח - ט - ב,"department, division (of organization); middle school; brigade (military)","Noun –ktilapattern, feminine"
חֲטִיבָה,chativa,ח - ט - ב,tree felling,"Noun –ktilapattern, feminine"
חֶט,chet,ח - ט - ט,tusk,"Noun –ketelpattern, masculine"
חָטָט,chatat,ח - ט - ט,pimple,"Noun –katalpattern, masculine"
חֲטִיפָה,chatifa,ח - ט - ף,"kidnapping, hijacking; grabbing, snatching","Noun –ktilapattern, feminine"
חָטִיף,chatif,ח - ט - ף,snack,"Noun –katilpattern, masculine"
הַחְייָאָה,hachya'a,ח - י - א,"resuscitation; rejuvenation, revitalization, reinvigoration","Noun –haktalapattern, feminine"
חַייָּב,chayav,ח - י - ב,debtor,"Noun –kattalpattern, masculine"
חִיּוּב,chiyuv,ח - י - ב,"obligation, debit; positivity, agreement; conviction","Noun –kittulpattern, masculine"
הִתְחַייְּבוּת,hitchayvut,ח - י - ב,"liability, commitment, undertaking","Noun –hitkattlutpattern, feminine"
חִיּוּג,chiyug,ח - י - ג,dialing (phone number),"Noun –kittulpattern, masculine"
חַייָּט,chayat,ח - י - ט,tailor,"Noun –kattalpattern, masculine"
תְּחִייָּה,tchiya,ח - י - ה,"revival, renaissance","Noun –tkillapattern, feminine"
חַיִּים,chayim,ח - י - ה,life,"Noun –kalpattern, masculine, plural"
מִחְיָה,michya,ח - י - ה,"sustenance, means for a living","Noun –miktalpattern, feminine"
חַיָּה,chaya,ח - י - ה,"animal, beast","Noun –katlapattern, feminine"
חִיּוּךְ,chiyuch,ח - י - ך,☺️ smile,"Noun –kittulpattern, masculine"
חַייָּל,chayal,ח - י - ל,soldier,"Noun –kattalpattern, masculine"
תְּחוּלָה,tchula,ח - י - ל,"inception, effective date (legal)","Noun –tkulapattern, feminine"
חַיִל,chayil,ח - י - ל,"force, corps (military); army; strength, courage, valour","Noun –ketelpattern, masculine"
חַייְשָׁן,chayshan,ח - י - שׁ,sensor,"Noun –katlanpattern, masculine"
חִיכּוּךְ,chikuch,ח - כ - ך,friction; disagreement,"Noun –kittulpattern, masculine"
חַכָּה,chaka,ח - כ - ך,fishing rod,"Noun –katlapattern, feminine"
חֵךְ,chech,ח - כ - ך,palate,"Noun –ketelpattern, masculine"
חוֹכְמָה,chochma,ח - כ - ם,wisdom,"Noun –kotlapattern, feminine"
חָכָם,chacham,ח - כ - ם,"wise person; rabbi, sage (in Oriental Jews communities)","Noun –katalpattern, masculine"
חָלָב,chalav,ח - ל - ב,milk,"Noun –katalpattern, masculine"
חֶלְבּוֹן,chelbon,ח - ל - ב,protein; egg white,"Noun –kitlonpattern, masculine"
תַּחְלִיב,tachliv,ח - ל - ב,emulsion,"Noun –taktilpattern, masculine"
חֲלוּדָה,chaluda,ח - ל - ד,rust,"Noun –ktulapattern, feminine"
חוּלְדָּה,chulda,ח - ל - ד,rat,"Noun –kutlapattern, feminine"
חִילָּזוֹן,chilazon,ח - ל - ז,"snail, gastropod","Noun –kittalonpattern, masculine"
חִילּוּט,chilut,ח - ל - ט,"confiscation, forfeiture","Noun –kittulpattern, masculine"
הַחְלָטָה,hachlata,ח - ל - ט,"decision, resolution","Noun –haktalapattern, feminine"
הֶחְלֵט,hechlet,ח - ל - ט,"decision, determination (rare)","Noun –hektelpattern, masculine"
חִילְטוּר,chiltur,ח - ל - ט - ר,"moonlighting, side job (coll.)","Noun –kittulpattern, masculine"
מַחֲלָה,machala,ח - ל - ה,"illness, disease, sickness","Noun –miktalpattern, feminine"
חַלּוֹן,chalon,ח - ל - ל,"window; gap, free time (coll.)","Noun –kitlonpattern, masculine"
חִילּוּל,chilul,ח - ל - ל,"desecration, defilement","Noun –kittulpattern, masculine"
מְחִילָּה,mechila,ח - ל - ל,"burrow, tunnel","Noun –mekilapattern, feminine"
תְּחִילָּה,tchila,ח - ל - ל,beginning,"Noun –tkillapattern, feminine"
חָלָל,chalal,ח - ל - ל,"space; outer space; void, cavity","Noun –katalpattern, masculine"
חֲלִיל,chalil,ח - ל - ל,flute,"Noun –ktilpattern, masculine"
חַלָּה,chala,ח - ל - ל,challah; portion of dough set aside and burned (Judaism),"Noun –katlapattern, feminine"
חָלוֹם,chalom,ח - ל - ם,dream,"Noun –katolpattern, masculine"
הַחְלָמָה,hachlama,ח - ל - ם,"recuperation, recovery","Noun –haktalapattern, feminine"
חֶלְמוֹן,chelmon,ח - ל - ם,yolk,"Noun –kitlonpattern, masculine"
חֲלוּפָה,chalufa,ח - ל - ף,"alternative, option","Noun –ktulapattern, feminine"
חִילּוּף,chiluf,ח - ל - ף,"exchange, replacement","Noun –kittulpattern, masculine"
חֲלִיפָה,chalifa,ח - ל - ף,suit (clothing),"Noun –ktilapattern, feminine"
הַחְלָפָה,hachlafa,ח - ל - ף,"replacement, exchange, swapping","Noun –haktalapattern, feminine"
מֶחְלָף,mechlaf,ח - ל - ף,"traffic interchange, junction","Noun –miktalpattern, masculine"
מַחְלֵף,machlef,ח - ל - ף,commutator,"Noun –maktelpattern, masculine"
חִילּוּץ,chilutz,ח - ל - ץ,"extrication, release, rescue, evacuation","Noun –kittulpattern, masculine"
חוּלְצָה,chultza,ח - ל - ץ,shirt,"Noun –kutlapattern, feminine"
חָלוּץ,chalutz,ח - ל - ץ,"pioneer; forward, striker (football)","Noun –katulpattern, masculine"
חֵלֶק,chelek,ח - ל - ק,"part, portion","Noun –ketelpattern, masculine"
מְחַלֵּק,mechalek,ח - ל - ק,divisor (mathematics); distributor (person),"Noun –mekattelpattern, masculine"
חֲלוּקָּה,chaluka,ח - ל - ק,distribution; division,"Noun –ktullapattern, feminine"
מַחְלָקָה,machlaka,ח - ל - ק,"department, unit","Noun –miktalapattern, feminine"
חָלוּק,chaluk,ח - ל - ק,"gown, robe","Noun –katulpattern, masculine"
חִילּוּק,chiluk,ח - ל - ק,division (mathematics); partition; difference (lit.),"Noun –kittulpattern, masculine"
חוּלְשָׁה,chulsha,ח - ל - שׁ,weakness,"Noun –kutlapattern, feminine"
מַחְמָאָה,machma'a,ח - מ - א,compliment,"Noun –miktalapattern, feminine"
חֶמְאָה,chem'a,ח - מ - א,butter,"Noun –kitlapattern, feminine"
חֶמְדָּה,chemda,ח - מ - ד,"desire, lust; treasure, precious thing","Noun –kitlapattern, feminine"
